"","industry","occupation","jobtitle","company","jobspec","careerlevel","salary","qualifications","jobtype","experience","joblink"
"301","Information And Communications","Business Development Manager","Sales &Amp; Business Development Manager","Tria Pte Ltd","Information And Communications","Manager","SGD 5,000 , SGD 6,000","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/sales-business-development-manager-8949637?jobId=jobstreet-sg-job-8949637&sectionRank=7&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"302","Information And Communications","Business Development Manager","Regional Business Development Manager - Apac","Talentbank","Information And Communications","Senior Manager","SGD 10,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/regional-business-development-manager-apac-8970915?jobId=jobstreet-sg-job-8970915&sectionRank=11&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"303","Information And Communications","Business Development Manager","Sales Manager","Vard Singapore Pte Ltd","Information And Communications","Manager","SGD 8,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/sales-manager-8941522?jobId=jobstreet-sg-job-8941522&sectionRank=12&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"304","Information And Communications","Business Development Manager","Sales Manager","Dnkh Logistics Pte Ltd","Information And Communications","Senior Manager","SGD 3,500 , SGD 4,900","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-8990977?jobId=jobstreet-sg-job-8990977&sectionRank=13&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"305","Information And Communications","Business Development Manager","Conference Executive","Informa Markets","Information And Communications","Junior Executive","SGD 3,000 , SGD 3,200","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/conference-executive-8967481?jobId=jobstreet-sg-job-8967481&sectionRank=16&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"306","Information And Communications","Business Development Manager","Business Advisor / Business Development Executive","Sme [Email Protected] ([Email Protected] Pte. Ltd.)","Information And Communications","Junior Executive","SGD 3,200 , SGD 3,500","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-advisor-business-development-executive-8960560?jobId=jobstreet-sg-job-8960560&sectionRank=17&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"307","Information And Communications","Business Development Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8969934?jobId=jobstreet-sg-job-8969934&sectionRank=18&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"308","Information And Communications","Business Development Manager","Account Manager","Company Confidential","Information And Communications","Manager","SGD 4,000 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/account-manager-8997750?jobId=jobstreet-sg-job-8997750&sectionRank=21&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"309","Information And Communications","Business Development Manager","Account Manager (Sales)","Eventionapp","Information And Communications","Senior Executive","SGD 3,000 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/account-manager-sales-8982442?jobId=jobstreet-sg-job-8982442&sectionRank=22&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"310","Information And Communications","Business Development Manager","Business Development Manager","Pico Guards Pte Ltd","Information And Communications","Manager","SGD 5,000 , SGD 6,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/business-development-manager-8958295?jobId=jobstreet-sg-job-8958295&sectionRank=26&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"311","Information And Communications","Business Development Manager","Asset Management Business Development Manager, Apac (Johncraneapac00980)","John Crane","Information And Communications","Manager","SGD 5,000 , SGD 7,000","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/asset-management-business-development-manager-apac-johncraneapac00980-8966266?jobId=jobstreet-sg-job-8966266&sectionRank=30&token=0~ed3ea1be-dfb7-4594-933d-67db4e08f6f9&fr=SRP%20Job%20Listing"
"312","Information And Communications","Business Development Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8944626?jobId=jobstreet-sg-job-8944626&sectionRank=31&token=0~1e310666-5ceb-4034-8a1f-1efcaf021781&fr=SRP%20Job%20Listing"
"313","Information And Communications","Business Development Manager","Business Development Manager","Roger International Equipment & Services Pte Ltd","Information And Communications","Manager","SGD 6,000 , SGD 8,000","Professional Certificate/NiTEC","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-manager-8958691?jobId=jobstreet-sg-job-8958691&sectionRank=36&token=0~1e310666-5ceb-4034-8a1f-1efcaf021781&fr=SRP%20Job%20Listing"
"314","Information And Communications","Business Development Manager","Business Development Manager","Pure Interior Pte Ltd","Information And Communications","Manager","SGD 3,500 , SGD 4,000","Not Specified","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-manager-8984310?jobId=jobstreet-sg-job-8984310&sectionRank=45&token=0~1e310666-5ceb-4034-8a1f-1efcaf021781&fr=SRP%20Job%20Listing"
"315","Information And Communications","Business Development Manager","Sales Account Manager","Glodon International Pte. Ltd.","Information And Communications","Junior Executive","SGD 3,000 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-account-manager-8938120?jobId=jobstreet-sg-job-8938120&sectionRank=49&token=0~1e310666-5ceb-4034-8a1f-1efcaf021781&fr=SRP%20Job%20Listing"
"316","Information And Communications","Business Development Manager","Boutique Manager","Chopard (Asia) Pte Ltd","Information And Communications","Manager","SGD 4,000 , SGD 6,000","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/boutique-manager-8998963?jobId=jobstreet-sg-job-8998963&sectionRank=58&token=0~1e310666-5ceb-4034-8a1f-1efcaf021781&fr=SRP%20Job%20Listing"
"317","Information And Communications","Business Development Manager","Sales Accounts Manager- Event Tech","Globalsign.in Pte Ltd","Information And Communications","Senior Manager","SGD 4,000 , SGD 6,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/sales-accounts-manager-event-tech-8945761?jobId=jobstreet-sg-job-8945761&sectionRank=64&token=0~7fae11a0-30fb-41cb-92e0-2bf3a42f6167&fr=SRP%20Job%20Listing"
"318","Information And Communications","Business Development Manager","Business Development Senior Executive","Peregrine Security (A Tenon Group Company)","Information And Communications","Senior Executive","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-senior-executive-8988023?jobId=jobstreet-sg-job-8988023&sectionRank=67&token=0~7fae11a0-30fb-41cb-92e0-2bf3a42f6167&fr=SRP%20Job%20Listing"
"319","Information And Communications","Business Development Manager","Brand And Communications Executive","Centurion Corporation Limited","Information And Communications","Junior Executive","SGD 2,800 , SGD 4,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/brand-and-communications-executive-8931518?jobId=jobstreet-sg-job-8931518&sectionRank=79&token=0~7fae11a0-30fb-41cb-92e0-2bf3a42f6167&fr=SRP%20Job%20Listing"
"320","Information And Communications","Business Development Manager","Business Development Manager (Digital Marketing)","Adtech Innovation Pte. Limited","Information And Communications","Manager","SGD 3,500 , SGD 5,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-manager-digital-marketing-4718104/origin/my?jobId=jobstreet-my-job-4718104&sectionRank=85&token=0~7fae11a0-30fb-41cb-92e0-2bf3a42f6167&fr=SRP%20Job%20Listing"
"321","Manufacturing","Research And Development Manager","Mechanical Assembly Supervisor","Rim Polymers Industries Pte Ltd","Manufacturing","Junior Executive","SGD 2,500 , SGD 3,500","Professional Certificate/NiTEC","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/mechanical-assembly-supervisor-8991744?jobId=jobstreet-sg-job-8991744&sectionRank=2&token=0~512fbd61-d694-4dec-a9d3-d34e8d5ed3b2&fr=SRP%20Job%20Listing"
"322","Manufacturing","Research And Development Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=3&token=0~512fbd61-d694-4dec-a9d3-d34e8d5ed3b2&fr=SRP%20Job%20Listing"
"323","Manufacturing","Research And Development Manager","Assistant Production Manager","Gao Ji Food (S) Pte Ltd","Manufacturing","Manager","SGD 3,350 , SGD 4,690","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/assistant-production-manager-8963249?jobId=jobstreet-sg-job-8963249&sectionRank=13&token=0~512fbd61-d694-4dec-a9d3-d34e8d5ed3b2&fr=SRP%20Job%20Listing"
"324","Manufacturing","Regional Sales Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=5&token=0~ad6245b3-6604-46f3-9bbb-67182ef0a426&fr=SRP%20Job%20Listing"
"325","Manufacturing","Regional Sales Manager","Audit Engineer (Hvac Controls / Energy Conservation)","Barghest Building Performance Pte Ltd","Manufacturing","Senior Executive","SGD 3,500 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/audit-engineer-hvac-controls-energy-conservation-8867673?jobId=jobstreet-sg-job-8867673&sectionRank=97&token=0~dc65ec25-4a7f-44d3-97c4-b250d75761fb&fr=SRP%20Job%20Listing"
"326","Manufacturing","Quality Control/Assurance Manager","Quality(Qa/Qc) Engineer","Singapore Valve & Fitting Pte Ltd","Manufacturing","Junior Executive","SGD 3,000 , SGD 3,400","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quality-qa-qc-engineer-8994596?jobId=jobstreet-sg-job-8994596&sectionRank=1&token=0~0d88a7a4-9229-4ae6-bfe3-dbeb40bd31e9&fr=SRP%20Job%20Listing"
"327","Manufacturing","Quality Control/Assurance Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=21&token=0~0d88a7a4-9229-4ae6-bfe3-dbeb40bd31e9&fr=SRP%20Job%20Listing"
"328","Manufacturing","Quality Control/Assurance Manager","Quality Assurance Executive","The Soup Spoon Pte Ltd","Manufacturing","Junior Executive","SGD 2,800 , SGD 3,500","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/quality-assurance-executive-8994231?jobId=jobstreet-sg-job-8994231&sectionRank=30&token=0~0d88a7a4-9229-4ae6-bfe3-dbeb40bd31e9&fr=SRP%20Job%20Listing"
"329","Manufacturing","Quality Control/Assurance Manager","Manufacturing Engineer","Union Containers Pte Ltd","Manufacturing","Senior Executive","SGD 3,000 , SGD 4,000","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/manufacturing-engineer-8978525?jobId=jobstreet-sg-job-8978525&sectionRank=44&token=0~288f0564-96c5-4cd6-980d-29dfab4da441&fr=SRP%20Job%20Listing"
"330","Manufacturing","Quality Control/Assurance Manager","Qa Assistant Engineer","Sanden International (Singapore) Pte Ltd","Manufacturing","Non-Executive","SGD 2,400 , SGD 3,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/qa-assistant-engineer-8984905?jobId=jobstreet-sg-job-8984905&sectionRank=63&token=0~43576701-72b7-47f8-b727-9d14b0bb7c8e&fr=SRP%20Job%20Listing"
"331","Manufacturing","Procurement/Purchasing Manager","Procurement Assistant Manager/Manager","Thong Siek Food Industry Pte Ltd (A Subsidiary Of Neo Group Limited)","Manufacturing","Manager","SGD 3,200 , SGD 4,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/procurement-assistant-manager-manager-8955775?jobId=jobstreet-sg-job-8955775&sectionRank=5&token=0~900b26c6-acb1-40c3-bddd-daa53a9ae114&fr=SRP%20Job%20Listing"
"332","Manufacturing","Procurement/Purchasing Manager","Procurement Officer","Ecsal Technologies Pte Ltd","Manufacturing","Junior Executive","SGD 2,400 , SGD 3,200","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/procurement-officer-8959815?jobId=jobstreet-sg-job-8959815&sectionRank=30&token=0~900b26c6-acb1-40c3-bddd-daa53a9ae114&fr=SRP%20Job%20Listing"
"333","Manufacturing","Procurement/Purchasing Manager","Senior Procurement Engineer","Soitec Microelectronic Singapore Pte. Ltd.","Manufacturing","Senior Executive","SGD 4,500 , SGD 5,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/senior-procurement-engineer-8912954?jobId=jobstreet-sg-job-8912954&sectionRank=73&token=0~f733b3aa-729b-4f34-bca7-50fa256fd4f2&fr=SRP%20Job%20Listing"
"334","Manufacturing","Manufacturing Manager","Manufacturing Engineer","Applied Materials South East Asia Pte Ltd","Manufacturing","Non-Executive","SGD 4,000 , SGD 5,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/manufacturing-engineer-8989661?jobId=jobstreet-sg-job-8989661&sectionRank=5&token=0~56b92cfe-7e5c-4146-a736-842fde42ea4a&fr=SRP%20Job%20Listing"
"335","Manufacturing","Manufacturing Manager","Manufacturing Engineer","Union Containers Pte Ltd","Manufacturing","Senior Executive","SGD 3,000 , SGD 4,000","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/manufacturing-engineer-8978525?jobId=jobstreet-sg-job-8978525&sectionRank=24&token=0~56b92cfe-7e5c-4146-a736-842fde42ea4a&fr=SRP%20Job%20Listing"
"336","Manufacturing","Manufacturing Manager","Mechanical Assembly Supervisor","Rim Polymers Industries Pte Ltd","Manufacturing","Junior Executive","SGD 2,500 , SGD 3,500","Professional Certificate/NiTEC","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/mechanical-assembly-supervisor-8991744?jobId=jobstreet-sg-job-8991744&sectionRank=38&token=0~664ace1a-ff2f-41b3-8d99-74d16e47595f&fr=SRP%20Job%20Listing"
"337","Manufacturing","Manufacturing Manager","Plant Manager (Based In Johor Bahru, Malaysia)","Company Confidential","Manufacturing","Manager","MYR 9,000 , MYR 13,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/plant-manager-based-in-johor-bahru-malaysia-8898275?jobId=jobstreet-sg-job-8898275&sectionRank=47&token=0~664ace1a-ff2f-41b3-8d99-74d16e47595f&fr=SRP%20Job%20Listing"
"338","Manufacturing","Manufacturing Manager","Qa Manager (Food Manufacturing)","Company Confidential","Manufacturing","Manager","SGD 4,500 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/qa-manager-food-manufacturing-8990294?jobId=jobstreet-sg-job-8990294&sectionRank=52&token=0~664ace1a-ff2f-41b3-8d99-74d16e47595f&fr=SRP%20Job%20Listing"
"339","Manufacturing","Manufacturing Manager","Production Control Engineer","Vanguard International Semiconductor Singapore Pte. Ltd.","Manufacturing","Junior Executive","SGD 3,000 , SGD 5,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/production-control-engineer-8963882?jobId=jobstreet-sg-job-8963882&sectionRank=54&token=0~664ace1a-ff2f-41b3-8d99-74d16e47595f&fr=SRP%20Job%20Listing"
"340","Manufacturing","Managing Director/Chief Executive Officer","Procurement Assistant Manager/Manager","Thong Siek Food Industry Pte Ltd (A Subsidiary Of Neo Group Limited)","Manufacturing","Manager","SGD 3,200 , SGD 4,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/procurement-assistant-manager-manager-8955775?jobId=jobstreet-sg-job-8955775&sectionRank=42&token=0~6b822f97-1822-4dd0-b6e0-0aed7fe2ca6c&fr=SRP%20Job%20Listing"
"341","Manufacturing","Human Resource Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=48&token=0~87ac1d7f-82dc-40cc-a3e5-c2cde871fb26&fr=SRP%20Job%20Listing"
"342","Manufacturing","Customer Service Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=10&token=0~1be2cbfc-19af-47c5-8dcc-53a5c362e962&fr=SRP%20Job%20Listing"
"343","Manufacturing","Customer Service Manager","Assistant Quality Manager","Bertschi Singapore Pte Ltd","Manufacturing","Manager","SGD 4,500 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/assistant-quality-manager-8994894?jobId=jobstreet-sg-job-8994894&sectionRank=55&token=0~1a493165-d3df-4d6c-aba3-e8b0cf36a7b6&fr=SRP%20Job%20Listing"
"344","Manufacturing","Customer Service Manager","Operations Manager","Company Confidential","Manufacturing","Manager","SGD 2,500 , SGD 3,000","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/operations-manager-8920483?jobId=jobstreet-sg-job-8920483&sectionRank=63&token=0~1bf730de-1cfa-4d9e-a960-15ef141eebb2&fr=SRP%20Job%20Listing"
"345","Manufacturing","Construction Manager","Project Manager","Rma Fiventures Asia-Pacific Pte Ltd","Manufacturing","Manager","SGD 5,000 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/project-manager-8982509?jobId=jobstreet-sg-job-8982509&sectionRank=9&token=0~87a1dd83-6d89-4c59-a5c2-0c5ed44e0368&fr=SRP%20Job%20Listing"
"346","Manufacturing","Managing Director/Chief Executive Officer","Senior Procurement Engineer","Soitec Microelectronic Singapore Pte. Ltd.","Manufacturing","Senior Executive","SGD 4,500 , SGD 5,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/senior-procurement-engineer-8912954?jobId=jobstreet-sg-job-8912954&sectionRank=41&token=0~f59fc934-7b8a-4d7c-9b24-67420dd766c2&fr=SRP%20Job%20Listing"
"347","Manufacturing","Business Development Manager","Regional Quality Manager","Materion Singapore Pte. Ltd.","Manufacturing","Manager","SGD 6,300 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-quality-manager-8979643?jobId=jobstreet-sg-job-8979643&sectionRank=27&token=0~40510dba-2a91-4880-b715-cf69e27acb35&fr=SRP%20Job%20Listing"
"348","Manufacturing","Administration Manager","Technical Director","Engie Impact Pte Ltd","Manufacturing","Senior Manager","SGD 10,000 , SGD 15,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/technical-director-8873812?jobId=jobstreet-sg-job-8873812&sectionRank=80&token=0~e53bd5a3-3317-4101-a606-6f9b5d76c0f3&fr=SRP%20Job%20Listing"
"349","Transportation And Storage","Sales Manager","Manager, Freight Sales","Yang Kee Logistics Pte Ltd","Transportation And Storage","Manager","SGD 5,000 , SGD 7,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/manager-freight-sales-8944326?jobId=jobstreet-sg-job-8944326&sectionRank=1&token=0~e45a353c-9139-43c8-b404-7aea8d268390&fr=SRP%20Job%20Listing"
"350","Transportation And Storage","Sales Manager","Sales Executive (Project Manager)","Bensea Paint Pte Ltd","Transportation And Storage","Junior Executive","SGD 3,200 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-project-manager-8998043?jobId=jobstreet-sg-job-8998043&sectionRank=2&token=0~e45a353c-9139-43c8-b404-7aea8d268390&fr=SRP%20Job%20Listing"
"351","Transportation And Storage","Sales Manager","Sales Manager (Freight Logistics)","Mari-Nex Fr8 Pte. Ltd.","Transportation And Storage","Manager","SGD 3,800 , SGD 4,800","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-freight-logistics-8986531?jobId=jobstreet-sg-job-8986531&sectionRank=15&token=0~e45a353c-9139-43c8-b404-7aea8d268390&fr=SRP%20Job%20Listing"
"352","Transportation And Storage","Sales Manager","Sales Executive","Gylet Lift (M&S) Pte Ltd","Transportation And Storage","Junior Executive","SGD 2,000 , SGD 2,800","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-8941434?jobId=jobstreet-sg-job-8941434&sectionRank=17&token=0~e45a353c-9139-43c8-b404-7aea8d268390&fr=SRP%20Job%20Listing"
"353","Transportation And Storage","Sales Manager","Sales/Account Manager (Large Format &Amp; Offset)","Print Lab Pte Ltd","Transportation And Storage","Manager","SGD 3,000 , SGD 6,000","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-account-manager-large-format-offset-8974124?jobId=jobstreet-sg-job-8974124&sectionRank=26&token=0~e45a353c-9139-43c8-b404-7aea8d268390&fr=SRP%20Job%20Listing"
"354","Transportation And Storage","Sales Manager","Regional Key Account Manager (Kallangway, Sea Experience)","Ceva Logistics Singapore Pte Ltd","Transportation And Storage","Senior Manager","SGD 8,000 , SGD 10,000","Not Specified","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/regional-key-account-manager-kallangway-sea-experience-8972793?jobId=jobstreet-sg-job-8972793&sectionRank=35&token=0~e8835b34-860c-469f-badc-5dba65bad593&fr=SRP%20Job%20Listing"
"355","Transportation And Storage","Sales Manager","Business Development Executive (Essential Service Sector)","Laser Packaging Machine Mfg Pte Ltd","Transportation And Storage","Junior Executive","SGD 2,200 , SGD 2,500","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-essential-service-sector-8918835?jobId=jobstreet-sg-job-8918835&sectionRank=43&token=0~e8835b34-860c-469f-badc-5dba65bad593&fr=SRP%20Job%20Listing"
"356","Transportation And Storage","Sales Manager","Retail Wine Supervisor","Wine Trade Asia Pte Ltd","Transportation And Storage","Junior Executive","SGD 2,200 , SGD 2,600","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/retail-wine-supervisor-8932319?jobId=jobstreet-sg-job-8932319&sectionRank=56&token=0~e8835b34-860c-469f-badc-5dba65bad593&fr=SRP%20Job%20Listing"
"357","Transportation And Storage","Sales Manager","Sales Executive","Soonest Express (S) Pte Ltd","Transportation And Storage","Junior Executive","SGD 2,500 , SGD 3,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-8921629?jobId=jobstreet-sg-job-8921629&sectionRank=64&token=0~4cae3f08-dc36-4b1b-9cfd-d9ef89c8c83a&fr=SRP%20Job%20Listing"
"358","Transportation And Storage","Sales Manager","Sales Executive / Specialist","Ps Energy Pte Ltd","Transportation And Storage","Junior Executive","SGD 2,500 , SGD 3,500","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-specialist-8877309?jobId=jobstreet-sg-job-8877309&sectionRank=82&token=0~4cae3f08-dc36-4b1b-9cfd-d9ef89c8c83a&fr=SRP%20Job%20Listing"
"359","Transportation And Storage","Computer Technician","Sales Account Executive","Procurri Singapore Pte Ltd","Transportation And Storage","Junior Executive","SGD 3,000 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-account-executive-8962071?jobId=jobstreet-sg-job-8962071&sectionRank=2&token=0~2727f28d-cdcb-40d0-9cf2-a2c89c8c4aad&fr=SRP%20Job%20Listing"
"360","Transportation And Storage","Sales Manager","Sales Account Executive","Procurri Singapore Pte Ltd","Transportation And Storage","Junior Executive","SGD 3,000 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-account-executive-8962071?jobId=jobstreet-sg-job-8962071&sectionRank=8&token=0~5c16a988-7361-4cb9-b000-edf488792c5f&fr=SRP%20Job%20Listing"
